"name","url","cover","rate","category","language","showtime","length","othername","id","label"
"我是路人甲","http://movie.douban.com/subject/25746375/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2252471054.jpg","7.4","剧情;喜剧","汉语普通话;粤语;浙江方言","2015.0","134.0","I Am Somebody","5ec851a8b7b7bbf0c9f42bbee021be00","Movie"
"铁拳","http://movie.douban.com/subject/5446197/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2239723542.jpg","7.1","剧情;动作;运动","英语","2015.0","123.0","左撇子;震撼擂台(台);再战击情(港)","091e3a53f5f1f2a9144911bd950bec5a","Movie"
"我们梦中见","http://movie.douban.com/subject/25885212/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2264068617.jpg","7.6","剧情;喜剧","英语","2015.0","92.0","","896251b7e2a03bfff46f3b7a4e26ef7a","Movie"
"少年透明人","http://movie.douban.com/subject/25728581/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2212138459.jpg","6.6","奇幻;冒险","意大利语","2014.0","100.0","The Invisible Boy","e3f50ba8f94267f2c7f7dec8277aec69","Movie"
"撒迦利亚","http://movie.douban.com/subject/5156558/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2265577230.jpg","6.0","剧情;科幻;惊悚","英语","2015.0","95.0","","99bdc1c8c46472fc393941e6d8a6d263","Movie"
"非我","http://movie.douban.com/subject/24325815/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2251424605.jpg","6.3","科幻;悬疑;惊悚","英语","2015.0","117.0","换命法则(台);换命游戏;无我;Selfless","9c9ccd72a65189b4dbfb7d3aa1fd84ed","Movie"
"唇上之歌","http://movie.douban.com/subject/25922902/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2207639509.jpg","7.5","剧情","日语","2015.0","132.0","再会吧 ! 青春小鸟(台);Have a Song on Your Lips","f572e66cae38d66f6387379a3a54d9c7","Movie"
"如晴天，似雨天","http://movie.douban.com/subject/25738406/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2225420926.jpg","8.1","剧情;音乐","英语","2014.0","104.0","像星期日，像下雨","8a93d7974ba12ff3f8ea7b7078591d83","Movie"
"故事的故事","http://movie.douban.com/subject/25767747/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2264871852.jpg","7.4","历史;奇幻","英语;意大利语","2015.0","125.0","异色童话集(台);故事中的故事;The Tale of Tales","db2f8cc9f771e94771992d34c1053dc9","Movie"
"奸臣","http://movie.douban.com/subject/25823840/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2235239810.jpg","6.3","剧情;情色;古装","韩语","2015.0","133.0","The Treacherous","1b61e5457877b9c8b7cd62fe3d55dedb","Movie"
